asin,units_30d,CES,Ensemble,LSTM,LightGBM,MA7,NGBoost,NHITS,PatchTST,SeasonalNaive,XGBoost
B09CN9199F,29,19.605255568400025,27.79316238151326,17.34229052,35.3970222454604,17.142857142857142,31.088654357726107,18.54480401,37.0228133,16.0,35.55129683017731
B09Y94CJWS,126,68.57865290316113,95.8220236807119,95.7181146,108.30284719074237,68.57142857142857,95.37959244605844,85.3005025,129.51712609999998,69.0,87.95732998847961
B0B16655W8,22,33.883214047178626,34.30509768443789,3.8164198000000003,53.9894467972392,42.85714285714286,55.636716830066426,32.14254961,24.22819845,44.0,36.439138531684875
B0B16HKH26,31,16.30049009155482,24.94851820031166,32.13411806,32.82527846269503,17.142857142857142,28.27357023270501,28.40309027,25.59297862,17.0,11.110101699829102
B0B33YLDD3,453,124.2563574463129,204.46406338078577,203.4554075,239.57429728732177,334.2857142857143,227.95939130498897,191.3484949,212.4176165,362.0,232.23687982559204
B0B4V6NKG7,22,9.927474226802586,17.249133228056024,15.78042761,29.810884274859283,17.142857142857142,27.600273388105325,9.53267205,19.97661086,18.0,8.115590065717697
B0B9QVZ41G,0,11.587374929338694,12.021399169581988,13.46051381,26.8289950095201,0.0,7.778864281293315,9.22954323,9.981982902,0.0,5.282519981265067
B0BH39YK2D,33,2.865890506654977,16.872427274724135,37.08739734,29.69159499886181,8.571428571428571,27.480330040064032,8.845711244,4.1611838615,9.0,7.9748832136392585
B0BNC8NGLM,43,7.214949689805507,21.9930643600696,29.96998438,33.22576309191527,17.142857142857142,28.315419486918195,30.81879237,14.840826575,18.0,9.565714985132217
B0BQ3Y57RS,22,18.152965370565653,38.574574177581404,22.28980768,56.966882302835735,25.71428571428571,56.967582898937856,21.17085478,55.4336028,24.0,39.04032301902771
B0BTB558K4,2,43.30361235886812,14.357438709620089,11.07981445,26.776517004516638,0.0,7.699443559584255,0.712435961,5.24261808126,0.0,5.68762956559658
